AssessmentID,StudentID,SubjectID,TestName,MaxMarks,MarksObtained
T2045,S1012,CIVIL101,Internal 1,100,80
T2046,S1012,CIVIL105,Internal 2,100,80
T2047,S1012,CIVIL104,Model Exam,100,80
T2048,S1012,CIVIL102,Final Internal,100,80
T2049,S1013,EEE103,Internal 1,100,66
T2050,S1013,EEE104,Internal 2,100,66
T2051,S1013,EEE101,Model Exam,100,66
T2052,S1013,EEE105,Final Internal,100,66
T2053,S1014,MECH102,Internal 1,100,74
T2054,S1014,MECH101,Internal 2,100,74
T2055,S1014,MECH102,Model Exam,100,74
T2056,S1014,MECH104,Final Internal,100,74
T2057,S1015,CSE102,Internal 1,100,83
T2058,S1015,CSE105,Internal 2,100,83
T2059,S1015,CSE102,Model Exam,100,83
T2060,S1015,CSE102,Final Internal,100,83
T2061,S1016,CSE105,Internal 1,100,49
T2062,S1016,CSE104,Internal 2,100,48
T2063,S1016,CSE102,Model Exam,100,44
T2064,S1016,CSE102,Final Internal,100,43
T2065,S1017,ECE103,Internal 1,100,53
T2066,S1017,ECE104,Internal 2,100,48
T2067,S1017,ECE105,Model Exam,100,44
T2068,S1017,ECE105,Final Internal,100,40
T2069,S1018,CIVIL104,Internal 1,100,38
T2070,S1018,CIVIL105,Internal 2,100,35
T2071,S1018,CIVIL101,Model Exam,100,35
T2072,S1018,CIVIL105,Final Internal,100,35
T2073,S1019,ECE101,Internal 1,100,35
T2074,S1019,ECE105,Internal 2,100,35
T2075,S1019,ECE102,Model Exam,100,35
T2076,S1019,ECE105,Final Internal,100,35
T2077,S1020,ECE101,Internal 1,100,88
T2078,S1020,ECE105,Internal 2,100,88
T2079,S1020,ECE104,Model Exam,100,88
T2080,S1020,ECE101,Final Internal,100,88
T2081,S1021,EEE102,Internal 1,100,40
T2082,S1021,EEE102,Internal 2,100,40
T2083,S1021,EEE103,Model Exam,100,40
T2084,S1021,EEE102,Final Internal,100,40
T2085,S1022,ECE102,Internal 1,100,40
T2086,S1022,ECE104,Internal 2,100,36
T2087,S1022,ECE103,Model Exam,100,35
T2088,S1022,ECE105,Final Internal,100,35
T2089,S1023,CIVIL105,Internal 1,100,86
T2090,S1023,CIVIL104,Internal 2,100,86
T2091,S1023,CIVIL104,Model Exam,100,86
T2092,S1023,CIVIL105,Final Internal,100,86
T2093,S1024,MECH102,Internal 1,100,65
T2094,S1024,MECH103,Internal 2,100,65
T2095,S1024,MECH101,Model Exam,100,65
T2096,S1024,MECH101,Final Internal,100,65
T2097,S1025,ECE102,Internal 1,100,42
T2098,S1025,ECE104,Internal 2,100,40
T2099,S1025,ECE104,Model Exam,100,39
T2100,S1025,ECE101,Final Internal,100,36
T2101,S1026,ECE102,Internal 1,100,44
T2102,S1026,ECE105,Internal 2,100,44
T2103,S1026,ECE103,Model Exam,100,44
T2104,S1026,ECE102,Final Internal,100,44
T2105,S1027,MECH103,Internal 1,100,50
T2106,S1027,MECH103,Internal 2,100,45
T2107,S1027,MECH104,Model Exam,100,44
T2108,S1027,MECH102,Final Internal,100,39
T2109,S1028,CSE104,Internal 1,100,35
T2110,S1028,CSE104,Internal 2,100,35
T2111,S1028,CSE104,Model Exam,100,35
T2112,S1028,CSE104,Final Internal,100,35
T2113,S1029,ECE103,Internal 1,100,48
T2114,S1029,ECE103,Internal 2,100,45
T2115,S1029,ECE105,Model Exam,100,41
T2116,S1029,ECE103,Final Internal,100,40
T2117,S1030,EEE104,Internal 1,100,65
T2118,S1030,EEE101,Internal 2,100,65
T2119,S1030,EEE102,Model Exam,100,65
T2120,S1030,EEE103,Final Internal,100,65
T2121,S1031,MECH101,Internal 1,100,76
T2122,S1031,MECH102,Internal 2,100,76
T2123,S1031,MECH104,Model Exam,100,76
T2124,S1031,MECH102,Final Internal,100,76
T2125,S1032,CIVIL105,Internal 1,100,66
T2126,S1032,CIVIL102,Internal 2,100,66
T2127,S1032,CIVIL102,Model Exam,100,66
T2128,S1032,CIVIL102,Final Internal,100,66
T2129,S1033,EEE103,Internal 1,100,72
T2130,S1033,EEE103,Internal 2,100,72
T2131,S1033,EEE104,Model Exam,100,72
T2132,S1033,EEE102,Final Internal,100,72
T2133,S1034,ECE105,Internal 1,100,85
T2134,S1034,ECE101,Internal 2,100,85
T2135,S1034,ECE103,Model Exam,100,85
T2136,S1034,ECE103,Final Internal,100,85
T2137,S1035,MECH103,Internal 1,100,90
T2138,S1035,MECH105,Internal 2,100,90
T2139,S1035,MECH105,Model Exam,100,90
T2140,S1035,MECH103,Final Internal,100,90
T2141,S1036,ECE104,Internal 1,100,87
T2142,S1036,ECE105,Internal 2,100,87
T2143,S1036,ECE105,Model Exam,100,87
T2144,S1036,ECE101,Final Internal,100,87
T2145,S1037,CSE102,Internal 1,100,35
T2146,S1037,CSE104,Internal 2,100,35
T2147,S1037,CSE103,Model Exam,100,35
T2148,S1037,CSE103,Final Internal,100,35
T2149,S1038,ECE105,Internal 1,100,79
T2150,S1038,ECE103,Internal 2,100,79
T2151,S1038,ECE104,Model Exam,100,79
T2152,S1038,ECE104,Final Internal,100,79
T2153,S1039,CIVIL103,Internal 1,100,51
T2154,S1039,CIVIL103,Internal 2,100,46
T2155,S1039,CIVIL105,Model Exam,100,45
T2156,S1039,CIVIL102,Final Internal,100,40
T2157,S1040,CIVIL104,Internal 1,100,87
T2158,S1040,CIVIL103,Internal 2,100,87
T2159,S1040,CIVIL102,Model Exam,100,87
T2160,S1040,CIVIL102,Final Internal,100,87
T2161,S1041,EEE103,Internal 1,100,38
T2162,S1041,EEE102,Internal 2,100,36
T2163,S1041,EEE101,Model Exam,100,35
T2164,S1041,EEE101,Final Internal,100,35
T2165,S1042,ECE101,Internal 1,100,35
T2166,S1042,ECE102,Internal 2,100,35
T2167,S1042,ECE104,Model Exam,100,35
T2168,S1042,ECE105,Final Internal,100,35
T2169,S1043,CSE101,Internal 1,100,41
T2170,S1043,CSE105,Internal 2,100,36
T2171,S1043,CSE101,Model Exam,100,35
T2172,S1043,CSE104,Final Internal,100,35
T2173,S1044,EEE105,Internal 1,100,57
T2174,S1044,EEE104,Internal 2,100,55
T2175,S1044,EEE101,Model Exam,100,51
T2176,S1044,EEE105,Final Internal,100,49
T2177,S1045,CIVIL103,Internal 1,100,93
T2178,S1045,CIVIL103,Internal 2,100,93
T2179,S1045,CIVIL105,Model Exam,100,93
T2180,S1045,CIVIL105,Final Internal,100,93
T2181,S1046,CIVIL104,Internal 1,100,82
T2182,S1046,CIVIL105,Internal 2,100,82
T2183,S1046,CIVIL103,Model Exam,100,82
T2184,S1046,CIVIL105,Final Internal,100,82
T2185,S1047,ECE102,Internal 1,100,39
T2186,S1047,ECE101,Internal 2,100,38
T2187,S1047,ECE101,Model Exam,100,37
T2188,S1047,ECE102,Final Internal,100,35
T2189,S1048,CIVIL101,Internal 1,100,36
T2190,S1048,CIVIL102,Internal 2,100,35
T2191,S1048,CIVIL101,Model Exam,100,35
T2192,S1048,CIVIL101,Final Internal,100,35
T2193,S1049,EEE101,Internal 1,100,99
T2194,S1049,EEE102,Internal 2,100,99
T2195,S1049,EEE103,Model Exam,100,99
T2196,S1049,EEE101,Final Internal,100,99
T2197,S1050,CIVIL103,Internal 1,100,65
T2198,S1050,CIVIL101,Internal 2,100,65
T2199,S1050,CIVIL104,Model Exam,100,65
T2200,S1050,CIVIL103,Final Internal,100,65
T2201,S1051,CSE102,Internal 1,100,70
T2202,S1051,CSE104,Internal 2,100,70
T2203,S1051,CSE105,Model Exam,100,70
T2204,S1051,CSE101,Final Internal,100,70
T2205,S1052,CIVIL105,Internal 1,100,73
T2206,S1052,CIVIL102,Internal 2,100,73
T2207,S1052,CIVIL104,Model Exam,100,73
T2208,S1052,CIVIL103,Final Internal,100,73
T2209,S1053,CIVIL103,Internal 1,100,68
T2210,S1053,CIVIL102,Internal 2,100,68
T2211,S1053,CIVIL103,Model Exam,100,68
T2212,S1053,CIVIL105,Final Internal,100,68
T2213,S1054,EEE104,Internal 1,100,73
T2214,S1054,EEE104,Internal 2,100,73
T2215,S1054,EEE104,Model Exam,100,73
T2216,S1054,EEE101,Final Internal,100,73
T2217,S1055,CIVIL102,Internal 1,100,78
T2218,S1055,CIVIL103,Internal 2,100,78
T2219,S1055,CIVIL103,Model Exam,100,78
T2220,S1055,CIVIL103,Final Internal,100,78
T2221,S1056,MECH101,Internal 1,100,87
T2222,S1056,MECH101,Internal 2,100,87
T2223,S1056,MECH102,Model Exam,100,87
T2224,S1056,MECH104,Final Internal,100,87
T2225,S1057,CSE101,Internal 1,100,71
T2226,S1057,CSE105,Internal 2,100,71
T2227,S1057,CSE103,Model Exam,100,71
T2228,S1057,CSE103,Final Internal,100,71
T2229,S1058,ECE103,Internal 1,100,38
T2230,S1058,ECE105,Internal 2,100,36
T2231,S1058,ECE102,Model Exam,100,35
T2232,S1058,ECE105,Final Internal,100,35
T2233,S1059,ECE105,Internal 1,100,66
T2234,S1059,ECE105,Internal 2,100,66
T2235,S1059,ECE103,Model Exam,100,66
T2236,S1059,ECE105,Final Internal,100,66
T2237,S1060,CIVIL103,Internal 1,100,49
T2238,S1060,CIVIL103,Internal 2,100,48
T2239,S1060,CIVIL104,Model Exam,100,45
T2240,S1060,CIVIL101,Final Internal,100,41
T2241,S1061,CIVIL102,Internal 1,100,45
T2242,S1061,CIVIL103,Internal 2,100,45
T2243,S1061,CIVIL105,Model Exam,100,45
T2244,S1061,CIVIL102,Final Internal,100,45
T2245,S1062,EEE104,Internal 1,100,76
T2246,S1062,EEE101,Internal 2,100,76
T2247,S1062,EEE105,Model Exam,100,76
T2248,S1062,EEE103,Final Internal,100,76
T2249,S1063,MECH101,Internal 1,100,87
T2250,S1063,MECH101,Internal 2,100,87
T2251,S1063,MECH102,Model Exam,100,87
T2252,S1063,MECH103,Final Internal,100,87
T2253,S1064,EEE104,Internal 1,100,72
T2254,S1064,EEE102,Internal 2,100,72
T2255,S1064,EEE102,Model Exam,100,72
T2256,S1064,EEE102,Final Internal,100,72
T2257,S1065,CIVIL105,Internal 1,100,69
T2258,S1065,CIVIL105,Internal 2,100,69
T2259,S1065,CIVIL101,Model Exam,100,69
T2260,S1065,CIVIL102,Final Internal,100,69
T2261,S1066,EEE103,Internal 1,100,79
T2262,S1066,EEE101,Internal 2,100,79
T2263,S1066,EEE101,Model Exam,100,79
T2264,S1066,EEE102,Final Internal,100,79
T2265,S1067,CSE101,Internal 1,100,77
T2266,S1067,CSE104,Internal 2,100,77
T2267,S1067,CSE101,Model Exam,100,77
T2268,S1067,CSE105,Final Internal,100,77
T2269,S1068,CSE101,Internal 1,100,70
T2270,S1068,CSE105,Internal 2,100,70
T2271,S1068,CSE102,Model Exam,100,70
T2272,S1068,CSE103,Final Internal,100,70
T2273,S1069,MECH104,Internal 1,100,38
T2274,S1069,MECH105,Internal 2,100,36
T2275,S1069,MECH104,Model Exam,100,35
T2276,S1069,MECH105,Final Internal,100,35
T2277,S1070,EEE102,Internal 1,100,73
T2278,S1070,EEE103,Internal 2,100,73
T2279,S1070,EEE103,Model Exam,100,73
T2280,S1070,EEE102,Final Internal,100,73
T2281,S1071,CSE101,Internal 1,100,75
T2282,S1071,CSE104,Internal 2,100,75
T2283,S1071,CSE101,Model Exam,100,75
T2284,S1071,CSE103,Final Internal,100,75
T2285,S1072,MECH104,Internal 1,100,80
T2286,S1072,MECH101,Internal 2,100,80
T2287,S1072,MECH103,Model Exam,100,80
T2288,S1072,MECH104,Final Internal,100,80
T2289,S1073,EEE104,Internal 1,100,42
T2290,S1073,EEE102,Internal 2,100,42
T2291,S1073,EEE102,Model Exam,100,42
T2292,S1073,EEE105,Final Internal,100,42
T2293,S1074,CSE105,Internal 1,100,71
T2294,S1074,CSE104,Internal 2,100,71
T2295,S1074,CSE102,Model Exam,100,71
T2296,S1074,CSE101,Final Internal,100,71
T2297,S1075,MECH101,Internal 1,100,56
T2298,S1075,MECH104,Internal 2,100,53
T2299,S1075,MECH101,Model Exam,100,51
T2300,S1075,MECH101,Final Internal,100,47
T2301,S1076,EEE103,Internal 1,100,86
T2302,S1076,EEE105,Internal 2,100,86
T2303,S1076,EEE105,Model Exam,100,86
T2304,S1076,EEE103,Final Internal,100,86
T2305,S1077,CSE103,Internal 1,100,51
T2306,S1077,CSE103,Internal 2,100,48
T2307,S1077,CSE104,Model Exam,100,47
T2308,S1077,CSE105,Final Internal,100,42
T2309,S1078,EEE103,Internal 1,100,71
T2310,S1078,EEE103,Internal 2,100,71
T2311,S1078,EEE103,Model Exam,100,71
T2312,S1078,EEE104,Final Internal,100,71
T2313,S1079,EEE102,Internal 1,100,66
T2314,S1079,EEE105,Internal 2,100,66
T2315,S1079,EEE103,Model Exam,100,66
T2316,S1079,EEE102,Final Internal,100,66
T2317,S1080,EEE104,Internal 1,100,75
T2318,S1080,EEE105,Internal 2,100,75
T2319,S1080,EEE101,Model Exam,100,75
T2320,S1080,EEE103,Final Internal,100,75
T2321,S1081,MECH102,Internal 1,100,36
T2322,S1081,MECH103,Internal 2,100,35
T2323,S1081,MECH103,Model Exam,100,35
T2324,S1081,MECH101,Final Internal,100,35
T2325,S1082,CIVIL105,Internal 1,100,68
T2326,S1082,CIVIL103,Internal 2,100,68
T2327,S1082,CIVIL102,Model Exam,100,68
T2328,S1082,CIVIL103,Final Internal,100,68
T2329,S1083,ECE103,Internal 1,100,68
T2330,S1083,ECE105,Internal 2,100,68
T2331,S1083,ECE104,Model Exam,100,68
T2332,S1083,ECE103,Final Internal,100,68
T2333,S1084,ECE104,Internal 1,100,81
T2334,S1084,ECE101,Internal 2,100,81
T2335,S1084,ECE101,Model Exam,100,81
T2336,S1084,ECE105,Final Internal,100,81
T2337,S1085,ECE103,Internal 1,100,94
T2338,S1085,ECE104,Internal 2,100,94
T2339,S1085,ECE102,Model Exam,100,94
T2340,S1085,ECE105,Final Internal,100,94
T2341,S1086,ECE102,Internal 1,100,82
T2342,S1086,ECE105,Internal 2,100,82
T2343,S1086,ECE105,Model Exam,100,82
T2344,S1086,ECE102,Final Internal,100,82
T2345,S1087,MECH102,Internal 1,100,72
T2346,S1087,MECH104,Internal 2,100,72
T2347,S1087,MECH101,Model Exam,100,72
T2348,S1087,MECH105,Final Internal,100,72
T2349,S1088,CSE101,Internal 1,100,79
T2350,S1088,CSE102,Internal 2,100,79
T2351,S1088,CSE101,Model Exam,100,79
T2352,S1088,CSE105,Final Internal,100,79
T2353,S1089,ECE105,Internal 1,100,62
T2354,S1089,ECE101,Internal 2,100,62
T2355,S1089,ECE101,Model Exam,100,62
T2356,S1089,ECE102,Final Internal,100,62
T2357,S1090,EEE103,Internal 1,100,75
T2358,S1090,EEE103,Internal 2,100,75
T2359,S1090,EEE102,Model Exam,100,75
T2360,S1090,EEE105,Final Internal,100,75
T2361,S1091,CIVIL101,Internal 1,100,85
T2362,S1091,CIVIL102,Internal 2,100,85
T2363,S1091,CIVIL105,Model Exam,100,85
T2364,S1091,CIVIL103,Final Internal,100,85
T2365,S1092,CSE105,Internal 1,100,98
T2366,S1092,CSE102,Internal 2,100,98
T2367,S1092,CSE105,Model Exam,100,98
T2368,S1092,CSE101,Final Internal,100,98
T2369,S1093,CIVIL101,Internal 1,100,73
T2370,S1093,CIVIL105,Internal 2,100,73
T2371,S1093,CIVIL102,Model Exam,100,73
T2372,S1093,CIVIL101,Final Internal,100,73
T2373,S1094,CSE103,Internal 1,100,73
T2374,S1094,CSE101,Internal 2,100,73
T2375,S1094,CSE104,Model Exam,100,73
T2376,S1094,CSE105,Final Internal,100,73
T2377,S1095,CSE103,Internal 1,100,45
T2378,S1095,CSE104,Internal 2,100,41
T2379,S1095,CSE105,Model Exam,100,40
T2380,S1095,CSE104,Final Internal,100,36
T2381,S1096,ECE102,Internal 1,100,45
T2382,S1096,ECE105,Internal 2,100,42
T2383,S1096,ECE103,Model Exam,100,37
T2384,S1096,ECE102,Final Internal,100,35
T2385,S1097,MECH101,Internal 1,100,74
T2386,S1097,MECH105,Internal 2,100,74
T2387,S1097,MECH102,Model Exam,100,74
T2388,S1097,MECH102,Final Internal,100,74
T2389,S1098,CIVIL104,Internal 1,100,70
T2390,S1098,CIVIL102,Internal 2,100,70
T2391,S1098,CIVIL104,Model Exam,100,70
T2392,S1098,CIVIL103,Final Internal,100,70
T2393,S1099,ECE104,Internal 1,100,83
T2394,S1099,ECE103,Internal 2,100,83
T2395,S1099,ECE105,Model Exam,100,83
T2396,S1099,ECE104,Final Internal,100,83
T2397,S1100,EEE104,Internal 1,100,46
T2398,S1100,EEE101,Internal 2,100,44
T2399,S1100,EEE103,Model Exam,100,41
T2400,S1100,EEE104,Final Internal,100,40
T2401,S1101,MECH102,Internal 1,100,70
T2402,S1101,MECH102,Internal 2,100,70
T2403,S1101,MECH101,Model Exam,100,70
T2404,S1101,MECH102,Final Internal,100,70
T2405,S1102,EEE103,Internal 1,100,55
T2406,S1102,EEE102,Internal 2,100,54
T2407,S1102,EEE104,Model Exam,100,52
T2408,S1102,EEE105,Final Internal,100,48
T2409,S1103,CIVIL105,Internal 1,100,85
T2410,S1103,CIVIL104,Internal 2,100,85
T2411,S1103,CIVIL104,Model Exam,100,85
T2412,S1103,CIVIL105,Final Internal,100,85
T2413,S1104,EEE101,Internal 1,100,85
T2414,S1104,EEE101,Internal 2,100,85
T2415,S1104,EEE101,Model Exam,100,85
T2416,S1104,EEE101,Final Internal,100,85
T2417,S1105,CIVIL105,Internal 1,100,66
T2418,S1105,CIVIL103,Internal 2,100,66
T2419,S1105,CIVIL104,Model Exam,100,66
T2420,S1105,CIVIL101,Final Internal,100,66
T2421,S1106,CIVIL104,Internal 1,100,91
T2422,S1106,CIVIL103,Internal 2,100,91
T2423,S1106,CIVIL101,Model Exam,100,91
T2424,S1106,CIVIL105,Final Internal,100,91
T2425,S1107,CIVIL101,Internal 1,100,35
T2426,S1107,CIVIL102,Internal 2,100,35
T2427,S1107,CIVIL105,Model Exam,100,35
T2428,S1107,CIVIL104,Final Internal,100,35
T2429,S1108,EEE101,Internal 1,100,78
T2430,S1108,EEE105,Internal 2,100,78
T2431,S1108,EEE104,Model Exam,100,78
T2432,S1108,EEE102,Final Internal,100,78
T2433,S1109,CSE104,Internal 1,100,88
T2434,S1109,CSE105,Internal 2,100,88
T2435,S1109,CSE103,Model Exam,100,88
T2436,S1109,CSE102,Final Internal,100,88
T2437,S1110,CIVIL105,Internal 1,100,50
T2438,S1110,CIVIL103,Internal 2,100,47
T2439,S1110,CIVIL102,Model Exam,100,43
T2440,S1110,CIVIL101,Final Internal,100,41
T2441,S1111,CIVIL101,Internal 1,100,75
T2442,S1111,CIVIL103,Internal 2,100,75
T2443,S1111,CIVIL102,Model Exam,100,75
T2444,S1111,CIVIL101,Final Internal,100,75
T2445,S1112,CSE105,Internal 1,100,78
T2446,S1112,CSE102,Internal 2,100,78
T2447,S1112,CSE101,Model Exam,100,78
T2448,S1112,CSE101,Final Internal,100,78
T2449,S1113,CIVIL101,Internal 1,100,84
T2450,S1113,CIVIL104,Internal 2,100,84
T2451,S1113,CIVIL102,Model Exam,100,84
T2452,S1113,CIVIL105,Final Internal,100,84
T2453,S1114,CIVIL102,Internal 1,100,93
T2454,S1114,CIVIL102,Internal 2,100,93
T2455,S1114,CIVIL105,Model Exam,100,93
T2456,S1114,CIVIL101,Final Internal,100,93
T2457,S1115,CSE104,Internal 1,100,70
T2458,S1115,CSE105,Internal 2,100,70
T2459,S1115,CSE103,Model Exam,100,70
T2460,S1115,CSE101,Final Internal,100,70
T2461,S1116,CIVIL104,Internal 1,100,56
T2462,S1116,CIVIL101,Internal 2,100,51
T2463,S1116,CIVIL104,Model Exam,100,47
T2464,S1116,CIVIL102,Final Internal,100,44
T2465,S1117,CSE105,Internal 1,100,37
T2466,S1117,CSE102,Internal 2,100,35
T2467,S1117,CSE105,Model Exam,100,35
T2468,S1117,CSE105,Final Internal,100,35
T2469,S1118,MECH105,Internal 1,100,57
T2470,S1118,MECH102,Internal 2,100,55
T2471,S1118,MECH105,Model Exam,100,51
T2472,S1118,MECH102,Final Internal,100,49
T2473,S1119,EEE101,Internal 1,100,95
T2474,S1119,EEE103,Internal 2,100,95
T2475,S1119,EEE101,Model Exam,100,95
T2476,S1119,EEE101,Final Internal,100,95
T2477,S1120,MECH105,Internal 1,100,41
T2478,S1120,MECH105,Internal 2,100,37
T2479,S1120,MECH102,Model Exam,100,36
T2480,S1120,MECH104,Final Internal,100,35
T2481,S1121,CSE105,Internal 1,100,78
T2482,S1121,CSE104,Internal 2,100,78
T2483,S1121,CSE105,Model Exam,100,78
T2484,S1121,CSE103,Final Internal,100,78
T2485,S1122,EEE102,Internal 1,100,48
T2486,S1122,EEE105,Internal 2,100,48
T2487,S1122,EEE104,Model Exam,100,48
T2488,S1122,EEE101,Final Internal,100,48
T2489,S1123,MECH101,Internal 1,100,82
T2490,S1123,MECH105,Internal 2,100,82
T2491,S1123,MECH103,Model Exam,100,82
T2492,S1123,MECH101,Final Internal,100,82
T2493,S1124,EEE104,Internal 1,100,68
T2494,S1124,EEE104,Internal 2,100,68
T2495,S1124,EEE103,Model Exam,100,68
T2496,S1124,EEE102,Final Internal,100,68
T2497,S1125,EEE101,Internal 1,100,88
T2498,S1125,EEE101,Internal 2,100,88
T2499,S1125,EEE105,Model Exam,100,88
T2500,S1125,EEE104,Final Internal,100,88
T2501,S1126,ECE104,Internal 1,100,81
T2502,S1126,ECE102,Internal 2,100,81
T2503,S1126,ECE101,Model Exam,100,81
T2504,S1126,ECE105,Final Internal,100,81
T2505,S1127,EEE103,Internal 1,100,89
T2506,S1127,EEE105,Internal 2,100,89
T2507,S1127,EEE103,Model Exam,100,89
T2508,S1127,EEE101,Final Internal,100,89
T2509,S1128,CIVIL101,Internal 1,100,83
T2510,S1128,CIVIL103,Internal 2,100,83
T2511,S1128,CIVIL104,Model Exam,100,83
T2512,S1128,CIVIL102,Final Internal,100,83
T2513,S1129,EEE105,Internal 1,100,37
T2514,S1129,EEE104,Internal 2,100,35
T2515,S1129,EEE102,Model Exam,100,35
T2516,S1129,EEE104,Final Internal,100,35
T2517,S1130,ECE105,Internal 1,100,76
T2518,S1130,ECE104,Internal 2,100,76
T2519,S1130,ECE103,Model Exam,100,76
T2520,S1130,ECE101,Final Internal,100,76
T2521,S1131,CIVIL105,Internal 1,100,48
T2522,S1131,CIVIL101,Internal 2,100,46
T2523,S1131,CIVIL105,Model Exam,100,41
T2524,S1131,CIVIL105,Final Internal,100,39
T2525,S1132,ECE103,Internal 1,100,35
T2526,S1132,ECE105,Internal 2,100,35
T2527,S1132,ECE101,Model Exam,100,35
T2528,S1132,ECE102,Final Internal,100,35
T2529,S1133,MECH105,Internal 1,100,65
T2530,S1133,MECH105,Internal 2,100,65
T2531,S1133,MECH104,Model Exam,100,65
T2532,S1133,MECH101,Final Internal,100,65
T2533,S1134,ECE103,Internal 1,100,78
T2534,S1134,ECE103,Internal 2,100,78
T2535,S1134,ECE102,Model Exam,100,78
T2536,S1134,ECE102,Final Internal,100,78
T2537,S1135,ECE103,Internal 1,100,53
T2538,S1135,ECE104,Internal 2,100,52
T2539,S1135,ECE104,Model Exam,100,48
T2540,S1135,ECE103,Final Internal,100,43
T2541,S1136,CIVIL105,Internal 1,100,87
T2542,S1136,CIVIL102,Internal 2,100,87
T2543,S1136,CIVIL104,Model Exam,100,87
T2544,S1136,CIVIL104,Final Internal,100,87
T2545,S1137,MECH101,Internal 1,100,83
T2546,S1137,MECH101,Internal 2,100,83
T2547,S1137,MECH104,Model Exam,100,83
T2548,S1137,MECH101,Final Internal,100,83
T2549,S1138,EEE101,Internal 1,100,73
T2550,S1138,EEE101,Internal 2,100,73
T2551,S1138,EEE101,Model Exam,100,73
T2552,S1138,EEE101,Final Internal,100,73
T2553,S1139,CSE103,Internal 1,100,87
T2554,S1139,CSE101,Internal 2,100,87
T2555,S1139,CSE101,Model Exam,100,87
T2556,S1139,CSE105,Final Internal,100,87
T2557,S1140,CIVIL103,Internal 1,100,79
T2558,S1140,CIVIL102,Internal 2,100,79
T2559,S1140,CIVIL101,Model Exam,100,79
T2560,S1140,CIVIL103,Final Internal,100,79
T2561,S1141,ECE102,Internal 1,100,76
T2562,S1141,ECE102,Internal 2,100,76
T2563,S1141,ECE103,Model Exam,100,76
T2564,S1141,ECE102,Final Internal,100,76
T2565,S1142,CIVIL103,Internal 1,100,81
T2566,S1142,CIVIL102,Internal 2,100,81
T2567,S1142,CIVIL101,Model Exam,100,81
T2568,S1142,CIVIL101,Final Internal,100,81
T2569,S1143,EEE104,Internal 1,100,88
T2570,S1143,EEE104,Internal 2,100,88
T2571,S1143,EEE101,Model Exam,100,88
T2572,S1143,EEE101,Final Internal,100,88
T2573,S1144,ECE105,Internal 1,100,86
T2574,S1144,ECE103,Internal 2,100,86
T2575,S1144,ECE101,Model Exam,100,86
T2576,S1144,ECE101,Final Internal,100,86
T2577,S1145,MECH105,Internal 1,100,35
T2578,S1145,MECH104,Internal 2,100,35
T2579,S1145,MECH102,Model Exam,100,35
T2580,S1145,MECH102,Final Internal,100,35
T2581,S1146,ECE101,Internal 1,100,84
T2582,S1146,ECE103,Internal 2,100,84
T2583,S1146,ECE103,Model Exam,100,84
T2584,S1146,ECE102,Final Internal,100,84
T2585,S1147,CSE104,Internal 1,100,74
T2586,S1147,CSE102,Internal 2,100,74
T2587,S1147,CSE103,Model Exam,100,74
T2588,S1147,CSE104,Final Internal,100,74
T2589,S1148,EEE104,Internal 1,100,50
T2590,S1148,EEE104,Internal 2,100,47
T2591,S1148,EEE104,Model Exam,100,44
T2592,S1148,EEE102,Final Internal,100,42
