FeeID,StudentID,Installment,DueDate,PaymentDate,Status
F4214,S1214,Sem 3,10-08-2025,25-08-2025,Paid
F4215,S1215,Sem 3,10-08-2025,19-08-2025,Paid
F4216,S1216,Sem 3,10-08-2025,08-08-2025,Paid
F4217,S1217,Sem 3,10-08-2025,,Pending
F4218,S1218,Sem 3,10-08-2025,24-08-2025,Paid
F4219,S1219,Sem 3,10-08-2025,,Pending
F4220,S1220,Sem 3,10-08-2025,09-08-2025,Paid
F4221,S1221,Sem 3,10-08-2025,,Pending
F4222,S1222,Sem 3,10-08-2025,14-08-2025,Paid
F4223,S1223,Sem 3,10-08-2025,12-08-2025,Paid
F4224,S1224,Sem 3,10-08-2025,06-08-2025,Paid
F4225,S1225,Sem 3,10-08-2025,09-08-2025,Paid
F4226,S1226,Sem 3,10-08-2025,,Pending
F4227,S1227,Sem 3,10-08-2025,,Pending
F4228,S1228,Sem 3,10-08-2025,11-08-2025,Paid
F4229,S1229,Sem 3,10-08-2025,,Pending
F4230,S1230,Sem 3,10-08-2025,14-08-2025,Paid
F4231,S1231,Sem 3,10-08-2025,05-08-2025,Paid
F4232,S1232,Sem 3,10-08-2025,,Pending
F4233,S1233,Sem 3,10-08-2025,05-08-2025,Paid
F4234,S1234,Sem 3,10-08-2025,09-08-2025,Paid
F4235,S1235,Sem 3,10-08-2025,09-08-2025,Paid
F4236,S1236,Sem 3,10-08-2025,23-08-2025,Paid
F4237,S1237,Sem 3,10-08-2025,05-08-2025,Paid
F4238,S1238,Sem 3,10-08-2025,05-08-2025,Paid
F4239,S1239,Sem 3,10-08-2025,23-08-2025,Paid
F4240,S1240,Sem 3,10-08-2025,,Pending
F4241,S1241,Sem 3,10-08-2025,,Pending
F4242,S1242,Sem 3,10-08-2025,06-08-2025,Paid
F4243,S1243,Sem 3,10-08-2025,09-08-2025,Paid
F4244,S1244,Sem 3,10-08-2025,,Pending
F4245,S1245,Sem 3,10-08-2025,06-08-2025,Paid
F4246,S1246,Sem 3,10-08-2025,05-08-2025,Paid
F4247,S1247,Sem 3,10-08-2025,05-08-2025,Paid
F4248,S1248,Sem 3,10-08-2025,08-08-2025,Paid
F4249,S1249,Sem 3,10-08-2025,05-08-2025,Paid
F4250,S1250,Sem 3,10-08-2025,,Pending
F4251,S1251,Sem 3,10-08-2025,05-08-2025,Paid
F4252,S1252,Sem 3,10-08-2025,,Pending
F4253,S1253,Sem 3,10-08-2025,07-08-2025,Paid
F4254,S1254,Sem 3,10-08-2025,06-08-2025,Paid
F4255,S1255,Sem 3,10-08-2025,07-08-2025,Paid
F4256,S1256,Sem 3,10-08-2025,19-08-2025,Paid
F4257,S1257,Sem 3,10-08-2025,07-08-2025,Paid
F4258,S1258,Sem 3,10-08-2025,05-08-2025,Paid
F4259,S1259,Sem 3,10-08-2025,,Pending
F4260,S1260,Sem 3,10-08-2025,07-08-2025,Paid
F4261,S1261,Sem 3,10-08-2025,,Pending
F4262,S1262,Sem 3,10-08-2025,08-08-2025,Paid
F4263,S1263,Sem 3,10-08-2025,,Pending
F4264,S1264,Sem 3,10-08-2025,07-08-2025,Paid
F4265,S1265,Sem 3,10-08-2025,09-08-2025,Paid
F4266,S1266,Sem 3,10-08-2025,,Pending
F4267,S1267,Sem 3,10-08-2025,09-08-2025,Paid
F4268,S1268,Sem 3,10-08-2025,08-08-2025,Paid
F4269,S1269,Sem 3,10-08-2025,07-08-2025,Paid
F4270,S1270,Sem 3,10-08-2025,,Pending
F4271,S1271,Sem 3,10-08-2025,11-08-2025,Paid
F4272,S1272,Sem 3,10-08-2025,15-08-2025,Paid
F4273,S1273,Sem 3,10-08-2025,08-08-2025,Paid
F4274,S1274,Sem 3,10-08-2025,07-08-2025,Paid
F4275,S1275,Sem 3,10-08-2025,13-08-2025,Paid
F4276,S1276,Sem 3,10-08-2025,07-08-2025,Paid
F4277,S1277,Sem 3,10-08-2025,,Pending
F4278,S1278,Sem 3,10-08-2025,17-08-2025,Paid
F4279,S1279,Sem 3,10-08-2025,19-08-2025,Paid
F4280,S1280,Sem 3,10-08-2025,08-08-2025,Paid
F4281,S1281,Sem 3,10-08-2025,,Pending
F4282,S1282,Sem 3,10-08-2025,07-08-2025,Paid
F4283,S1283,Sem 3,10-08-2025,,Pending
F4284,S1284,Sem 3,10-08-2025,07-08-2025,Paid
F4285,S1285,Sem 3,10-08-2025,09-08-2025,Paid
F4286,S1286,Sem 3,10-08-2025,06-08-2025,Paid
F4287,S1287,Sem 3,10-08-2025,06-08-2025,Paid
F4288,S1288,Sem 3,10-08-2025,07-08-2025,Paid
F4289,S1289,Sem 3,10-08-2025,19-08-2025,Paid
F4290,S1290,Sem 3,10-08-2025,05-08-2025,Paid
F4291,S1291,Sem 3,10-08-2025,05-08-2025,Paid
F4292,S1292,Sem 3,10-08-2025,08-08-2025,Paid
F4293,S1293,Sem 3,10-08-2025,07-08-2025,Paid
F4294,S1294,Sem 3,10-08-2025,09-08-2025,Paid
F4295,S1295,Sem 3,10-08-2025,,Pending
F4296,S1296,Sem 3,10-08-2025,07-08-2025,Paid
F4297,S1297,Sem 3,10-08-2025,07-08-2025,Paid
F4298,S1298,Sem 3,10-08-2025,,Pending
F4299,S1299,Sem 3,10-08-2025,06-08-2025,Paid
F4300,S1300,Sem 3,10-08-2025,19-08-2025,Paid
F4301,S1301,Sem 3,10-08-2025,,Pending
F4302,S1302,Sem 3,10-08-2025,,Pending
F4303,S1303,Sem 3,10-08-2025,,Pending
F4304,S1304,Sem 3,10-08-2025,21-08-2025,Paid
F4305,S1305,Sem 3,10-08-2025,07-08-2025,Paid
F4306,S1306,Sem 3,10-08-2025,,Pending
F4307,S1307,Sem 3,10-08-2025,,Pending
F4308,S1308,Sem 3,10-08-2025,,Pending
F4309,S1309,Sem 3,10-08-2025,11-08-2025,Paid
F4310,S1310,Sem 3,10-08-2025,,Pending
F4311,S1311,Sem 3,10-08-2025,09-08-2025,Paid
F4312,S1312,Sem 3,10-08-2025,08-08-2025,Paid
F4313,S1313,Sem 3,10-08-2025,,Pending
F4314,S1314,Sem 3,10-08-2025,07-08-2025,Paid
F4315,S1315,Sem 3,10-08-2025,19-08-2025,Paid
F4316,S1316,Sem 3,10-08-2025,06-08-2025,Paid
F4317,S1317,Sem 3,10-08-2025,,Pending
F4318,S1318,Sem 3,10-08-2025,07-08-2025,Paid
F4319,S1319,Sem 3,10-08-2025,13-08-2025,Paid
F4320,S1320,Sem 3,10-08-2025,,Pending
F4321,S1321,Sem 3,10-08-2025,08-08-2025,Paid
F4322,S1322,Sem 3,10-08-2025,08-08-2025,Paid
F4323,S1323,Sem 3,10-08-2025,,Pending
F4324,S1324,Sem 3,10-08-2025,08-08-2025,Paid
F4325,S1325,Sem 3,10-08-2025,,Pending
F4326,S1326,Sem 3,10-08-2025,05-08-2025,Paid
F4327,S1327,Sem 3,10-08-2025,,Pending
F4328,S1328,Sem 3,10-08-2025,09-08-2025,Paid
F4329,S1329,Sem 3,10-08-2025,22-08-2025,Paid
F4330,S1330,Sem 3,10-08-2025,,Pending
F4331,S1331,Sem 3,10-08-2025,05-08-2025,Paid
F4332,S1332,Sem 3,10-08-2025,07-08-2025,Paid
F4333,S1333,Sem 3,10-08-2025,06-08-2025,Paid
F4334,S1334,Sem 3,10-08-2025,,Pending
F4335,S1335,Sem 3,10-08-2025,,Pending
F4336,S1336,Sem 3,10-08-2025,06-08-2025,Paid
F4337,S1337,Sem 3,10-08-2025,09-08-2025,Paid
F4338,S1338,Sem 3,10-08-2025,,Pending
F4339,S1339,Sem 3,10-08-2025,12-08-2025,Paid
F4340,S1340,Sem 3,10-08-2025,,Pending
F4341,S1341,Sem 3,10-08-2025,07-08-2025,Paid
F4342,S1342,Sem 3,10-08-2025,05-08-2025,Paid
F4343,S1343,Sem 3,10-08-2025,08-08-2025,Paid
F4344,S1344,Sem 3,10-08-2025,08-08-2025,Paid
F4345,S1345,Sem 3,10-08-2025,,Pending
F4346,S1346,Sem 3,10-08-2025,,Pending
F4347,S1347,Sem 3,10-08-2025,06-08-2025,Paid
F4348,S1348,Sem 3,10-08-2025,,Pending
F4349,S1349,Sem 3,10-08-2025,09-08-2025,Paid
F4350,S1350,Sem 3,10-08-2025,07-08-2025,Paid
F4351,S1351,Sem 3,10-08-2025,06-08-2025,Paid
F4352,S1352,Sem 3,10-08-2025,08-08-2025,Paid
F4353,S1353,Sem 3,10-08-2025,08-08-2025,Paid
F4354,S1354,Sem 3,10-08-2025,08-08-2025,Paid
F4355,S1355,Sem 3,10-08-2025,09-08-2025,Paid
F4356,S1356,Sem 3,10-08-2025,21-08-2025,Paid
F4357,S1357,Sem 3,10-08-2025,05-08-2025,Paid
F4358,S1358,Sem 3,10-08-2025,08-08-2025,Paid
F4359,S1359,Sem 3,10-08-2025,,Pending
F4360,S1360,Sem 3,10-08-2025,05-08-2025,Paid
F4361,S1361,Sem 3,10-08-2025,08-08-2025,Paid
F4362,S1362,Sem 3,10-08-2025,09-08-2025,Paid
F4363,S1363,Sem 3,10-08-2025,,Pending
F4364,S1364,Sem 3,10-08-2025,09-08-2025,Paid
F4365,S1365,Sem 3,10-08-2025,08-08-2025,Paid
F4366,S1366,Sem 3,10-08-2025,07-08-2025,Paid
F4367,S1367,Sem 3,10-08-2025,09-08-2025,Paid
F4368,S1368,Sem 3,10-08-2025,18-08-2025,Paid
F4369,S1369,Sem 3,10-08-2025,05-08-2025,Paid
F4370,S1370,Sem 3,10-08-2025,06-08-2025,Paid
F4371,S1371,Sem 3,10-08-2025,16-08-2025,Paid
F4372,S1372,Sem 3,10-08-2025,14-08-2025,Paid
F4373,S1373,Sem 3,10-08-2025,17-08-2025,Paid
F4374,S1374,Sem 3,10-08-2025,06-08-2025,Paid
F4375,S1375,Sem 3,10-08-2025,22-08-2025,Paid
F4376,S1376,Sem 3,10-08-2025,23-08-2025,Paid
F4377,S1377,Sem 3,10-08-2025,,Pending
F4378,S1378,Sem 3,10-08-2025,09-08-2025,Paid
F4379,S1379,Sem 3,10-08-2025,06-08-2025,Paid
F4380,S1380,Sem 3,10-08-2025,,Pending
F4381,S1381,Sem 3,10-08-2025,,Pending
F4382,S1382,Sem 3,10-08-2025,,Pending
F4383,S1383,Sem 3,10-08-2025,05-08-2025,Paid
F4384,S1384,Sem 3,10-08-2025,08-08-2025,Paid
F4385,S1385,Sem 3,10-08-2025,,Pending
F4386,S1386,Sem 3,10-08-2025,08-08-2025,Paid
F4387,S1387,Sem 3,10-08-2025,,Pending
F4388,S1388,Sem 3,10-08-2025,,Pending
F4389,S1389,Sem 3,10-08-2025,05-08-2025,Paid
F4390,S1390,Sem 3,10-08-2025,16-08-2025,Paid
F4391,S1391,Sem 3,10-08-2025,06-08-2025,Paid
F4392,S1392,Sem 3,10-08-2025,07-08-2025,Paid
F4393,S1393,Sem 3,10-08-2025,12-08-2025,Paid
F4394,S1394,Sem 3,10-08-2025,,Pending
F4395,S1395,Sem 3,10-08-2025,,Pending
F4396,S1396,Sem 3,10-08-2025,,Pending
F4397,S1397,Sem 3,10-08-2025,05-08-2025,Paid
F4398,S1398,Sem 3,10-08-2025,,Pending
F4399,S1399,Sem 3,10-08-2025,05-08-2025,Paid
F4400,S1400,Sem 3,10-08-2025,09-08-2025,Paid
F4401,S1401,Sem 3,10-08-2025,,Pending
F4402,S1402,Sem 3,10-08-2025,09-08-2025,Paid
F4403,S1403,Sem 3,10-08-2025,,Pending
F4404,S1404,Sem 3,10-08-2025,06-08-2025,Paid
F4405,S1405,Sem 3,10-08-2025,08-08-2025,Paid
F4406,S1406,Sem 3,10-08-2025,,Pending
F4407,S1407,Sem 3,10-08-2025,06-08-2025,Paid
F4408,S1408,Sem 3,10-08-2025,12-08-2025,Paid
F4409,S1409,Sem 3,10-08-2025,09-08-2025,Paid
F4410,S1410,Sem 3,10-08-2025,,Pending
F4411,S1411,Sem 3,10-08-2025,05-08-2025,Paid
F4412,S1412,Sem 3,10-08-2025,08-08-2025,Paid
F4413,S1413,Sem 3,10-08-2025,11-08-2025,Paid
F4414,S1414,Sem 3,10-08-2025,,Pending
F4415,S1415,Sem 3,10-08-2025,09-08-2025,Paid
F4416,S1416,Sem 3,10-08-2025,06-08-2025,Paid
F4417,S1417,Sem 3,10-08-2025,07-08-2025,Paid
F4418,S1418,Sem 3,10-08-2025,,Pending
F4419,S1419,Sem 3,10-08-2025,09-08-2025,Paid
F4420,S1420,Sem 3,10-08-2025,07-08-2025,Paid
F4421,S1421,Sem 3,10-08-2025,06-08-2025,Paid
F4422,S1422,Sem 3,10-08-2025,08-08-2025,Paid
F4423,S1423,Sem 3,10-08-2025,09-08-2025,Paid
F4424,S1424,Sem 3,10-08-2025,09-08-2025,Paid
F4425,S1425,Sem 3,10-08-2025,06-08-2025,Paid
F4426,S1426,Sem 3,10-08-2025,17-08-2025,Paid
F4427,S1427,Sem 3,10-08-2025,08-08-2025,Paid
F4428,S1428,Sem 3,10-08-2025,07-08-2025,Paid
F4429,S1429,Sem 3,10-08-2025,06-08-2025,Paid
F4430,S1430,Sem 3,10-08-2025,,Pending
F4431,S1431,Sem 3,10-08-2025,09-08-2025,Paid
F4432,S1432,Sem 3,10-08-2025,09-08-2025,Paid
F4433,S1433,Sem 3,10-08-2025,,Pending
F4434,S1434,Sem 3,10-08-2025,07-08-2025,Paid
F4435,S1435,Sem 3,10-08-2025,05-08-2025,Paid
F4436,S1436,Sem 3,10-08-2025,05-08-2025,Paid
F4437,S1437,Sem 3,10-08-2025,05-08-2025,Paid
F4438,S1438,Sem 3,10-08-2025,13-08-2025,Paid
F4439,S1439,Sem 3,10-08-2025,24-08-2025,Paid
F4440,S1440,Sem 3,10-08-2025,08-08-2025,Paid
F4441,S1441,Sem 3,10-08-2025,05-08-2025,Paid
F4442,S1442,Sem 3,10-08-2025,09-08-2025,Paid
F4443,S1443,Sem 3,10-08-2025,22-08-2025,Paid
F4444,S1444,Sem 3,10-08-2025,08-08-2025,Paid
F4445,S1445,Sem 3,10-08-2025,06-08-2025,Paid
F4446,S1446,Sem 3,10-08-2025,09-08-2025,Paid
F4447,S1447,Sem 3,10-08-2025,07-08-2025,Paid
F4448,S1448,Sem 3,10-08-2025,,Pending
F4449,S1449,Sem 3,10-08-2025,05-08-2025,Paid
F4450,S1450,Sem 3,10-08-2025,,Pending
F4451,S1451,Sem 3,10-08-2025,09-08-2025,Paid
F4452,S1452,Sem 3,10-08-2025,14-08-2025,Paid
F4453,S1453,Sem 3,10-08-2025,08-08-2025,Paid
F4454,S1454,Sem 3,10-08-2025,17-08-2025,Paid
F4455,S1455,Sem 3,10-08-2025,,Pending
F4456,S1456,Sem 3,10-08-2025,07-08-2025,Paid
F4457,S1457,Sem 3,10-08-2025,18-08-2025,Paid
F4458,S1458,Sem 3,10-08-2025,05-08-2025,Paid
F4459,S1459,Sem 3,10-08-2025,,Pending
